region,year,capacity
p08125,2018,3.0
p09110,2018,4.7
p09120,2018,2.0
p09140,2018,2.0
p09150,2018,20.0
p09160,2018,5.0
p09170,2018,2.1
p09180,2018,20.0
p09190,2018,0.5
p10001,2018,2.6
p12011,2018,16.9
p12021,2018,74.5
p12035,2018,4.2
p12043,2018,156.3
p12093,2018,223.4
p12097,2018,196.8
p12111,2018,58.0
p12117,2018,74.5
p12127,2018,74.5
p13025,2018,1.9
p13031,2018,3.0
p13165,2018,1.4
p13179,2018,31.2
p13267,2018,2.2
p13305,2018,2.3
p18041,2018,7.4
p18137,2018,2.0
p18151,2018,3.8
p18179,2018,4.0
p24003,2018,2.0
p24011,2018,2.3
p24017,2018,4.3
p24019,2018,4.0
p24031,2018,1.3
p24039,2018,12.0
p24047,2018,75.0
p25001,2018,6.9
p25003,2018,6.1
p25011,2018,7.6
p25015,2018,3.3
p25017,2018,4.5
p25021,2018,4.8
p25023,2018,10.0
p25027,2018,12.1
p26063,2018,16.2
p26087,2018,1.3
p26099,2018,7.7
p27001,2018,3.8
p27017,2018,1.0
p27021,2018,6.3
p27025,2018,2.0
p27031,2018,21.6
p27035,2018,2.7
p27039,2018,3.0
p27043,2018,2.0
p27045,2018,7.9
p27047,2018,1.0
p27049,2018,6.0
p27053,2018,1.0
p27055,2018,10.0
p27059,2018,1.0
p27061,2018,3.8
p27071,2018,11.0
p27075,2018,49.9
p27079,2018,4.8
p27095,2018,1.0
p27097,2018,1.8
p27099,2018,4.0
p27103,2018,0.9
p27109,2018,3.0
p27115,2018,8.0
p27131,2018,4.0
p27137,2018,51.3
p27143,2018,0.9
p27145,2018,0.7
p27157,2018,3.1
p27163,2018,2.0
p27169,2018,4.8
p27171,2018,4.1
p29031,2018,2.5
p29133,2018,4.4
p29143,2018,4.1
p29201,2018,2.5
p31127,2018,1.3
p31147,2018,1.0
p32003,2018,1.7
p32007,2018,20.0
p32017,2018,1.4
p34007,2018,2.6
p34013,2018,10.0
p34019,2018,7.2
p34021,2018,3.7
p34023,2018,8.4
p34027,2018,8.8
p34029,2018,26.3
p34033,2018,2.4
p34041,2018,2.7
p35025,2018,5.0
p35037,2018,8.0
p35041,2018,5.0
p35059,2018,21.0
p36017,2018,4.9
p36025,2018,8.0
p36031,2018,7.7
p36041,2018,4.0
p36043,2018,10.0
p36045,2018,4.0
p36049,2018,10.9
p36053,2018,5.5
p36065,2018,9.6
p36071,2018,4.0
p36077,2018,6.0
p36089,2018,32.1
p36103,2018,24.9
p36105,2018,6.0
p37001,2018,14.7
p37007,2018,3.4
p37019,2018,10.0
p37031,2018,85.4
p37033,2018,4.8
p37035,2018,2.9
p37037,2018,19.5
p37041,2018,100.2
p37047,2018,5.0
p37051,2018,10.0
p37053,2018,86.59
p37057,2018,2.0
p37061,2018,5.0
p37063,2018,5.0
p37065,2018,5.0
p37067,2018,4.0
p37069,2018,5.0
p37077,2018,5.0
p37083,2018,10.0
p37085,2018,5.0
p37093,2018,4.9
p37095,2018,74.8
p37097,2018,2.0
p37101,2018,5.0
p37103,2018,5.3
p37119,2018,5.9
p37123,2018,3.8
p37125,2018,23.0
p37127,2018,5.0
p37139,2018,12.61
p37143,2018,74.9
p37145,2018,5.0
p37147,2018,11.0
p37151,2018,6.4
p37155,2018,5.0
p37159,2018,4.0
p37163,2018,5.0
p37165,2018,4.5
p37167,2018,2.0
p37177,2018,0.7
p37181,2018,5.0
p37183,2018,5.0
p37185,2018,5.0
p37187,2018,50.2
p37191,2018,5.0
p37195,2018,5.0
p37197,2018,2.0
p39013,2018,1.6
p39019,2018,1.0
p39029,2018,3.7
p39067,2018,1.8
p39111,2018,6.0
p40079,2018,10.0
p41001,2018,8.2
p41045,2018,45.9
p41063,2018,32.2
p42089,2018,3.0
p42127,2018,1.5
p45015,2018,4.0
p45019,2018,2.0
p45031,2018,2.0
p45033,2018,10.2
p45041,2018,13.1
p45043,2018,8.0
p45067,2018,39.0
p45089,2018,12.1
p47019,2018,15.0
p47059,2018,1.6
p47091,2018,53.0
p47163,2018,15.0
p47179,2018,4.4
p48005,2018,30.0
p48037,2018,194.0
p48067,2018,200.0
p48203,2018,50.0
p48291,2018,2.6
p48347,2018,20.0
p48365,2018,159.0
p48373,2018,5.0
p49037,2018,2.0
p50005,2018,2.1
p50009,2018,26.7
p51097,2018,17.0
p51175,2018,15.0
p51183,2018,6.0
p51800,2018,20.0
p53051,2018,19.2
p55037,2018,1.0
p55083,2018,2.5
p56015,2018,92.0
p04001,2019,29.8
p04003,2019,1.3
p04009,2019,1.1
p05035,2019,3.2
p06025,2019,141.2
p06027,2019,11.0
p06029,2019,7.5
